word	method	exists	coverage	mean_dist_to_white
acorn	rembg_u2net	True	0.1799888888888889	0.09964637458324432
album	rembg_u2net	True	0.47228888888888887	0.18755120038986206
almond	rembg_u2net	True	0.7359888888888889	0.21962487697601318
aloe	rembg_u2net	True	0.3426666666666667	0.17409995198249817
amber	rembg_u2net	True	0.6571444444444444	0.49926862120628357
amplifier	rembg_u2net	True	0.21788888888888888	0.10455886274576187
anklet	FALLBACK_ORIGINAL	True	0.9999888888888889	0.5466302633285522
anteater	rembg_u2net	True	0.3037666666666667	0.19046200811862946
antelope	rembg_u2net	True	0.1556	0.07309909164905548
antenna	rembg_u2net	True	0.07007777777777778	0.05001206696033478
anvil	rembg_u2net	True	0.4116111111111111	0.22402428090572357
apron	rembg_u2net	True	0.6577666666666667	0.3450395464897156
aquarium	rembg_u2net	True	0.44075555555555557	0.23988395929336548
arm	rembg_u2net	True	0.13684444444444444	0.06709061563014984
artichoke	rembg_u2net	True	0.3360111111111111	0.23335577547550201
asparagus	rembg_u2net	True	0.7638222222222222	0.4555520713329315
avocado	rembg_u2net	True	0.3538	0.19809658825397491
backdrop	rembg_u2net	True	0.49903333333333333	0.13735342025756836
backgammon	rembg_u2net	True	0.0695111111111111	0.029079511761665344
backscratcher	rembg_u2net	True	0.08578888888888889	0.031242821365594864
bagpipe	rembg_u2net	True	0.2600777777777778	0.15866951644420624
bamboo	rembg_u2net	True	0.17427777777777778	0.08181913942098618
bandanna	rembg_u2net	True	0.1405	0.08801072835922241
banner	rembg_u2net	True	0.5498777777777778	0.12032853811979294
barrel	rembg_u2net	True	0.3619777777777778	0.25450897216796875
baseball	rembg_u2net	True	0.1207	0.0396471843123436
basil	rembg_u2net	True	0.20495555555555556	0.09907867014408112
basket	rembg_u2net	True	0.3912777777777778	0.11487971991300583
bassinet	rembg_u2net	True	0.6093777777777778	0.4342885911464691
bathtub	rembg_u2net	True	0.3987111111111111	0.1252935528755188
batter	rembg_u2net	True	0.7366666666666667	0.3304128348827362
battery	rembg_u2net	True	0.5183666666666666	0.2035958617925644
beaker	rembg_u2net	True	0.4034888888888889	0.23483461141586304
beaver	rembg_u2net	True	0.4989777777777778	0.2893224358558655
bed	rembg_u2net	True	0.32224444444444444	0.11957923322916031
bedpost	rembg_u2net	True	0.33724444444444446	0.25164929032325745
bee	rembg_u2net	True	0.1165	0.06813943386077881
binoculars	rembg_u2net	True	0.3761111111111111	0.2990152835845947
blender	rembg_u2net	True	0.2683111111111111	0.09468060731887817
blind	rembg_u2net	True	0.14501111111111112	0.02084602788090706
blower	rembg_u2net	True	0.31904444444444446	0.24028217792510986
boa	rembg_u2net	True	0.39703333333333335	0.23641154170036316
boat	rembg_u2net	True	0.3537444444444444	0.2833414375782013
bobsled	rembg_u2net	True	0.14572222222222223	0.10667508840560913
bone	rembg_u2net	True	0.17313333333333333	0.06638363748788834
bonsai	rembg_u2net	True	0.4060666666666667	0.2580249607563019
book	rembg_u2net	True	0.2190888888888889	0.06384053826332092
bookmark	rembg_u2net	True	0.18544444444444444	0.09004618972539902
bookshelf	rembg_u2net	True	0.8125666666666667	0.5114393830299377
boulder	rembg_u2net	True	0.5419444444444445	0.2666546106338501
bouquet	rembg_u2net	True	0.16382222222222223	0.0832056775689125
box	rembg_u2net	True	0.49906666666666666	0.26290515065193176
bracket	rembg_u2net	True	0.2404888888888889	0.14169396460056305
braid	rembg_u2net	True	0.6635333333333333	0.4495147466659546
brake	rembg_u2net	True	0.5979	0.32989245653152466
branch	rembg_u2net	True	0.1366888888888889	0.09072158485651016
broccoli	rembg_u2net	True	0.24373333333333333	0.11586301028728485
bubble	rembg_u2net	True	0.4427111111111111	0.24173659086227417
bucket	rembg_u2net	True	0.15991111111111111	0.09187155216932297
buffet	rembg_u2net	True	0.4417333333333333	0.1625823825597763
buggy	rembg_u2net	True	0.6121888888888889	0.32772406935691833
bulldozer	rembg_u2net	True	0.4468888888888889	0.2990988790988922
bumper	rembg_u2net	True	0.49125555555555556	0.1875915378332138
burner	rembg_u2net	True	0.30646666666666667	0.12887194752693176
butter	rembg_u2net	True	0.3516222222222222	0.1515769511461258
cabinet	FALLBACK_ORIGINAL	True	0.9859	0.2991352677345276
cable	rembg_u2net	True	0.8325666666666667	0.567852795124054
cactus	rembg_u2net	True	0.4894222222222222	0.23556222021579742
cage	rembg_u2net	True	0.2200777777777778	0.18760867416858673
cake	rembg_u2net	True	0.6059111111111111	0.3598800301551819
candle	rembg_u2net	True	0.38615555555555553	0.2848239839076996
candlestick	rembg_u2net	True	0.10224444444444444	0.05139225721359253
candy	rembg_u2net	True	0.19126666666666667	0.11635733395814896
cantaloupe	rembg_u2net	True	0.6173333333333333	0.20264099538326263
caramel	rembg_u2net	True	0.6697	0.41813915967941284
card	rembg_u2net	True	0.34934444444444446	0.172810897231102
cardigan	rembg_u2net	True	0.6137111111111111	0.5171366333961487
carousel	FALLBACK_ORIGINAL	True	0.9843222222222222	0.6227604746818542
carriage	rembg_u2net	True	0.5440777777777778	0.2052183598279953
carrot	rembg_u2net	True	0.5851333333333333	0.31626248359680176
cassette	rembg_u2net	True	0.14427777777777778	0.0658467710018158
catfish	rembg_u2net	True	0.5038777777777778	0.22934271395206451
cauliflower	rembg_u2net	True	0.4376888888888889	0.12471161782741547
cello	rembg_u2net	True	0.43514444444444444	0.240769624710083
centerpiece	rembg_u2net	True	0.44414444444444445	0.27686604857444763
cereal	rembg_u2net	True	0.5072666666666666	0.1573350429534912
chalk	rembg_u2net	True	0.30423333333333336	0.11732997000217438
charcoal	rembg_u2net	True	0.3161777777777778	0.19556201994419098
charger	rembg_u2net	True	0.6344666666666666	0.1805860698223114
cheese	rembg_u2net	True	0.28205555555555556	0.09423055499792099
chin	rembg_u2net	True	0.3382	0.05870002135634422
chinchilla	rembg_u2net	True	0.5494333333333333	0.3135015666484833
chipmunk	rembg_u2net	True	0.26986666666666664	0.1552538424730301
chive	FALLBACK_ORIGINAL	True	0.9891222222222222	0.6676745414733887
cilantro	rembg_u2net	True	0.054766666666666665	0.026355452835559845
cinnamon	rembg_u2net	True	0.40896666666666665	0.21756577491760254
clam	rembg_u2net	True	0.5654	0.3269881010055542
clarinet	rembg_u2net	True	0.1497777777777778	0.06563709676265717
clay	rembg_u2net	True	0.27971111111111113	0.11686508357524872
clipboard	rembg_u2net	True	0.34878888888888887	0.12654781341552734
cloak	rembg_u2net	True	0.6888111111111112	0.5858598947525024
clothesline	rembg_u2net	True	0.36844444444444446	0.1547481268644333
clothespin	rembg_u2net	True	0.5062888888888889	0.25805866718292236
clove	rembg_u2net	True	0.06621111111111111	0.043672360479831696
coaster	rembg_u2net	True	0.6675777777777778	0.39095091819763184
coat	rembg_u2net	True	0.7101444444444445	0.537649929523468
coconut	rembg_u2net	True	0.3644222222222222	0.23074817657470703
coleslaw	rembg_u2net	True	0.6305444444444445	0.2542415261268616
collar	rembg_u2net	True	0.42365555555555556	0.28078240156173706
compost	rembg_u2net	True	0.5673222222222222	0.3112291693687439
cooler	rembg_u2net	True	0.6746444444444445	0.3199838399887085
coral	rembg_u2net	True	0.19956666666666667	0.03477412462234497
cork	rembg_u2net	True	0.3539555555555556	0.17427100241184235
corn	rembg_u2net	True	0.5125888888888889	0.274894654750824
cornbread	rembg_u2net	True	0.6060777777777778	0.31063953042030334
corset	rembg_u2net	True	0.3537444444444444	0.2253122329711914
counter	FALLBACK_ORIGINAL	True	0.9745	0.69997638463974
cow	rembg_u2net	True	0.24396666666666667	0.16956984996795654
coyote	rembg_u2net	True	0.19127777777777777	0.09658141434192657
crane	rembg_u2net	True	0.18746666666666667	0.07791364192962646
crate	rembg_u2net	True	0.49545555555555554	0.22841130197048187
crib	rembg_u2net	True	0.5162111111111111	0.18689069151878357
crown	rembg_u2net	True	0.7039555555555556	0.4696018695831299
crumb	FALLBACK_ORIGINAL	True	0.9995888888888889	0.34521326422691345
cymbal	rembg_u2net	True	0.7101222222222222	0.40891849994659424
dashboard	rembg_u2net	True	0.4557777777777778	0.27001631259918213
dessert	rembg_u2net	True	0.2288777777777778	0.1319989413022995
dice	rembg_u2net	True	0.20628888888888888	0.11245924234390259
dip	rembg_u2net	True	0.5442333333333333	0.31205838918685913
dish	rembg_u2net	True	0.38811111111111113	0.142361581325531
dishwasher	rembg_u2net	True	0.34325555555555554	0.10090949386358261
domino	rembg_u2net	True	0.36484444444444447	0.24968118965625763
donkey	rembg_u2net	True	0.2799	0.14309512078762054
doorbell	rembg_u2net	True	0.5143555555555556	0.332608699798584
dough	rembg_u2net	True	0.17575555555555555	0.07686544954776764
dragonfly	rembg_u2net	True	0.07865555555555556	0.036369189620018005
drill	rembg_u2net	True	0.3411222222222222	0.1819971203804016
drumstick	rembg_u2net	True	0.08275555555555555	0.02392462268471718
dryer	rembg_u2net	True	0.5590888888888889	0.3631851375102997
dumbwaiter	rembg_u2net	True	0.7395444444444444	0.4201696217060089
dumpling	rembg_u2net	True	0.5724666666666667	0.1884382963180542
dustpan	rembg_u2net	True	0.27192222222222223	0.16375643014907837
eagle	rembg_u2net	True	0.25125555555555557	0.1523105651140213
egg	rembg_u2net	True	0.37448888888888887	0.19337859749794006
eggnog	rembg_u2net	True	0.16026666666666667	0.07501518726348877
eggplant	rembg_u2net	True	0.5652222222222222	0.3375662863254547
elbow	rembg_u2net	True	0.27455555555555555	0.06821101158857346
fan	rembg_u2net	True	0.4754111111111111	0.2183854579925537
ferry	rembg_u2net	True	0.33624444444444446	0.22664767503738403
figurine	rembg_u2net	True	0.6438555555555555	0.388155460357666
filter	rembg_u2net	True	0.5446	0.3725237548351288
fingerprint	rembg_u2net	True	0.6893222222222222	0.19204556941986084
firewood	rembg_u2net	True	0.1698888888888889	0.021708369255065918
flan	rembg_u2net	True	0.4025888888888889	0.2383490949869156
flashlight	rembg_u2net	True	0.3569888888888889	0.26488107442855835
float	rembg_u2net	True	0.6961777777777778	0.486771821975708
flower	rembg_u2net	True	0.4408222222222222	0.169430673122406
flute	rembg_u2net	True	0.7002555555555555	0.3672027289867401
foam	rembg_u2net	True	0.6641333333333334	0.08864574134349823
fondue	rembg_u2net	True	0.5161222222222223	0.2965012192726135
footbath	rembg_u2net	True	0.6997444444444444	0.2740537226200104
forklift	rembg_u2net	True	0.38358888888888887	0.2575976252555847
fox	rembg_u2net	True	0.446	0.2646235525608063
freezer	rembg_u2net	True	0.6512444444444444	0.22448588907718658
frog	rembg_u2net	True	0.2994222222222222	0.12191949039697647
fruitcake	rembg_u2net	True	0.5586777777777778	0.31255513429641724
fudge	rembg_u2net	True	0.7653777777777778	0.44274166226387024
funnel	rembg_u2net	True	0.33087777777777777	0.18938520550727844
fuse	rembg_u2net	True	0.5493222222222223	0.22043925523757935
gargoyle	rembg_u2net	True	0.49756666666666666	0.39037173986434937
garlic	rembg_u2net	True	0.6305222222222222	0.23716868460178375
gazelle	rembg_u2net	True	0.21731111111111112	0.09517884254455566
gel	rembg_u2net	True	0.3031333333333333	0.07532907277345657
generator	rembg_u2net	True	0.7643555555555556	0.4310019612312317
gift	rembg_u2net	True	0.3143444444444444	0.1353393793106079
glasses	rembg_u2net	True	0.16603333333333334	0.07676469534635544
glove	rembg_u2net	True	0.29727777777777775	0.1270911544561386
goat	rembg_u2net	True	0.4583777777777778	0.20588186383247375
gondola	rembg_u2net	True	0.1729111111111111	0.11277083307504654
goose	rembg_u2net	True	0.27523333333333333	0.1561751514673233
gorilla	rembg_u2net	True	0.35475555555555555	0.18958328664302826
gourd	rembg_u2net	True	0.3604	0.1913187950849533
graffiti	rembg_u2net	True	0.27564444444444447	0.12355715781450272
grain	FALLBACK_ORIGINAL	True	1.0	0.6440944075584412
grate	rembg_u2net	True	0.24736666666666668	0.05425284430384636
groundhog	rembg_u2net	True	0.24014444444444444	0.09619563072919846
gutter	rembg_u2net	True	0.21544444444444444	0.12434213608503342
hammock	rembg_u2net	True	0.35584444444444446	0.13174346089363098
hamster	rembg_u2net	True	0.19414444444444445	0.09557335078716278
handle	rembg_u2net	True	0.05655555555555555	0.021979814395308495
harmonica	rembg_u2net	True	0.5394666666666666	0.298349529504776
harness	rembg_u2net	True	0.16334444444444443	0.04273729771375656
headdress	rembg_u2net	True	0.4065	0.048533741384744644
headrest	rembg_u2net	True	0.7112666666666667	0.4833170175552368
hedgehog	rembg_u2net	True	0.42743333333333333	0.31509876251220703
hippopotamus	rembg_u2net	True	0.4750888888888889	0.27877897024154663
hoe	rembg_u2net	True	0.48405555555555557	0.20823070406913757
hood	rembg_u2net	True	0.5384777777777778	0.2177506983280182
hopscotch	rembg_u2net	True	0.4549111111111111	0.1390126347541809
horn	rembg_u2net	True	0.25554444444444446	0.10447714477777481
horse	rembg_u2net	True	0.3176111111111111	0.2170133739709854
hubcap	rembg_u2net	True	0.5686666666666667	0.24694958329200745
hummingbird	rembg_u2net	True	0.1506888888888889	0.06992094218730927
hydrant	rembg_u2net	True	0.1499	0.10805349051952362
ice	rembg_u2net	True	0.46947777777777777	0.1673010140657425
iguana	rembg_u2net	True	0.5179777777777778	0.2874855399131775
incense	FALLBACK_ORIGINAL	True	1.0	0.485582560300827
